subject id,jpg,Image,SDSS information,LEDA information,RA,DEC
24,SubjectSet_1/587739810487861318.jpg,http://skyservice.pha.jhu.edu/DR7/ImgCutout/getjpeg.aspx?ra=216.0467945&dec=23.91358692&scale=0.19806&width=512&height=512&opt=&query=,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=587739810487861318&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j142411.23%2B235448.9&ob=ra,216.0467945,23.91358692
25,SubjectSet_1/587738951496171572.jpg,http://skyservice.pha.jhu.edu/DR7/ImgCutout/getjpeg.aspx?ra=209.67012919&dec=34.52453845&scale=0.19806&width=512&height=512&opt=&query=,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=587738951496171572&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j135840.83%2B343128.3&ob=ra,209.67012919,34.52453845
26,SubjectSet_1/587741533840670747.jpg,http://skyservice.pha.jhu.edu/DR7/ImgCutout/getjpeg.aspx?ra=126.05963334&dec=17.33196281&scale=0.19806&width=512&height=512&opt=&query=,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=587741533840670747&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j082414.31%2B171955.0&ob=ra,126.05963334,17.33196281
27,SubjectSet_1/587741532771188879.jpg,http://skyservice.pha.jhu.edu/DR7/ImgCutout/getjpeg.aspx?ra=135.85447862&dec=20.66740141&scale=0.19806&width=512&height=512&opt=&query=,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=587741532771188879&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j090325.07%2B204002.6&ob=ra,135.85447862,20.66740141
28,SubjectSet_1/587742062151663675.jpg,http://skyservice.pha.jhu.edu/DR7/ImgCutout/getjpeg.aspx?ra=197.29524481&dec=22.46633502&scale=0.19806&width=512&height=512&opt=&query=,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=587742062151663675&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j130910.85%2B222758.8&ob=ra,197.29524481,22.46633502
29,SubjectSet_1/587731513694355564.jpg,http://skyservice.pha.jhu.edu/DR7/ImgCutout/getjpeg.aspx?ra=52.62136726&dec=0.75206357&scale=0.19806&width=512&height=512&opt=&query=,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=587731513694355564&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j033029.12%2B004507.4&ob=ra,52.62136726,0.75206357
30,SubjectSet_1/587739157656698907.jpg,http://skyservice.pha.jhu.edu/DR7/ImgCutout/getjpeg.aspx?ra=155.92422648&dec=33.77398504&scale=0.19806&width=512&height=512&opt=&query=,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=587739157656698907&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j102341.81%2B334626.3&ob=ra,155.92422648,33.77398504
31,SubjectSet_1/587739809961148762.jpg,http://skyservice.pha.jhu.edu/DR7/ImgCutout/getjpeg.aspx?ra=239.5115772&dec=16.34760365&scale=0.19806&width=512&height=512&opt=&query=,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=587739809961148762&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j155802.77%2B162051.3&ob=ra,239.5115772,16.34760365
32,SubjectSet_1/588013381670338582.jpg,http://skyservice.pha.jhu.edu/DR7/ImgCutout/getjpeg.aspx?ra=184.65200973&dec=51.41471921&scale=0.19806&width=512&height=512&opt=&query=,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=588013381670338582&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j121836.48%2B512452.9&ob=ra,184.65200973,51.41471921
33,SubjectSet_1/587742863134818407.jpg,http://skyservice.pha.jhu.edu/DR7/ImgCutout/getjpeg.aspx?ra=170.40989132&dec=16.03151687&scale=0.19806&width=512&height=512&opt=&query=,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=587742863134818407&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j112138.37%2B160153.4&ob=ra,170.40989132,16.03151687
