dr7objid,ra,dec,p_bar,psi_sparcfire,psi_gz2,logMstar
587742863134818407,170.4099,16.031517,0.0,14.734779357910156,16.655903109518032,10.378612344794547
587729388222742551,166.25829,59.68433,0.4084432594786472,19.95037078857422,17.229298969676897,10.420032291874652
587732054853943533,132.37926,39.20972,0.10425850683696587,23.386579513549805,18.836900289950297,10.719891395731613
587739720304492561,228.59258,22.293077,0.7090077221263552,26.63195037841797,17.874279622334562,10.595689000390418
587733604259856536,228.218,51.398617,0.10916760641057116,20.607717514038086,16.259011860839045,10.493220138510988
587742013829480479,206.19771,20.9796,0.11697483958248506,-999.0,16.723010328418162,10.916474254066122
587730023329759268,222.56001,6.508094,0.23050933285708905,24.75132942199707,17.20592268478835,10.823606223387605
587731513142607999,18.76515,0.40522513,1.0,-999.0,20.308849415557923,10.755011153979357
587735347487047789,151.34566,11.728975,0.41846503782628286,-999.0,23.225997782786337,10.312147011458814
587739829281423592,229.60759,21.233294,0.644189692657099,-999.0,15.990813440775618,10.680780428911257
588017725474865155,186.386,7.6498413,0.6059005817470544,16.14728355407715,17.721302387078243,10.63229958918313
587739406799601798,230.41914,25.842566,0.3286464057667499,25.600366592407227,16.511428273449198,10.494994526664842
588017606302105648,207.8728,43.806427,0.12955039245104713,-999.0,16.10271885742356,10.498237257937388
587742577531224078,221.43146,16.948154,0.7654528258686166,-999.0,18.586244502479886,10.54103139474395
588010359625220208,184.9035,5.397815,0.31320463546612026,24.517824172973633,19.22271901053384,10.688518063745093
587728918984786029,217.0542,61.187675,0.7178760346085651,-999.0,18.561700211251498,10.525125266373001
587739845928484940,236.83408,16.764496,0.15274508919617924,16.68911361694336,15.7870787200815,10.348331753452877
587736584429043894,218.19315,36.708088,0.07396783967250548,19.050100326538086,16.82910910218695,10.435135671223694
587736975273361631,233.4243,26.140047,0.11829870112392252,18.456214904785156,16.636230295971007,10.520535894228189
587735666930155574,248.8671,35.83698,0.5638019638612257,-999.0,16.24692985937159,10.42377602690097
587739406786887901,198.12308,34.05595,0.06874358867594284,16.037939071655273,17.172614244361068,10.385294009217892
587733429772222616,226.54237,53.410786,0.10544724561218037,12.41657829284668,16.602947471663526,10.536194903772994
587739844842684577,208.34865,23.048695,0.06195655463930988,-999.0,15.798141622794468,11.01765719448441
587729781736276184,256.1796,34.55851,0.38999996884611293,11.042165756225586,15.994026111526583,10.498289228749204
587738068350861554,149.11598,70.13322,0.2029233079030521,-999.0,18.842434024975212,10.516684697309605
587735660479578244,161.86154,38.936386,0.37631640319427856,17.9610652923584,21.421514086014504,10.390476741196222
587725775067414589,115.669914,40.929447,0.2704764793624456,-999.0,17.674076698213717,10.616123307151105
587731891112312931,168.54651,56.785076,0.10455851095219253,12.948542594909668,16.1524280174276,10.405135146522335
587742061087359072,219.94012,18.492355,0.7985315000721126,14.981998443603516,17.153189522104174,10.392926358155586
587739610233700356,173.01181,32.86299,0.8795239966296735,40.87632369995117,22.627464602534307,10.600255867461717
587729776371368115,216.39162,-3.0254965,0.1596343662489271,17.67909049987793,18.47440920907642,10.14101155749397
587731512610324707,29.252409,-0.08984991,0.11062095719226718,-999.0,17.02753694564239,10.836131523040207
587742062119682294,121.23254,10.846747,0.12533907377690554,38.859867095947266,17.51554336568887,10.490944458071034
588011218063851580,214.34512,58.750492,0.3100247715034997,10.212244987487793,16.227162297128395,10.697400715490836
588017627772157972,204.80794,44.250988,0.8675217985624125,14.478039741516113,20.51592155600565,10.538489489123728
587739305287155715,174.67154,35.77541,0.273187540803841,15.906100273132324,17.117100291236003,10.642026280514003
587738615954735165,177.95027,36.5925,0.49871429983811927,16.85087776184082,21.859105703436228,10.264654254756136
587736941995360581,246.8332,22.072065,0.3202287264567999,14.680330276489258,16.39622279121587,10.454282254685898
587733431923835334,253.94135,26.254745,0.3927112989424521,-999.0,16.831260207040803,10.610449490520658
587742012745121873,180.10518,21.558615,0.9388434459557478,21.7874813079834,15.46088565753588,10.870979345206315
588017948278456443,185.48872,42.312813,0.20901430605657562,23.184093475341797,18.180041974508228,10.754997077596439
