subject id,jpg,Image,SDSS information,LEDA information,RA,DEC
37,SubjectSet_20/587741533847617719.jpg,http://skyservice.pha.jhu.edu/DR7/ImgCutout/getjpeg.aspx?ra=141.71263885&dec=23.51053728&scale=0.19806&width=512&height=512&opt=&query=,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=587741533847617719&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j092651.03%2B233037.9&ob=ra,141.71263885,23.51053728
38,SubjectSet_20/587727943494926424.jpg,http://skyservice.pha.jhu.edu/DR7/ImgCutout/getjpeg.aspx?ra=145.13400883&dec=1.77649756&scale=0.19806&width=512&height=512&opt=&query=,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=587727943494926424&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j094032.16%2B014635.3&ob=ra,145.13400883,1.77649756
39,SubjectSet_20/587728931333276044.jpg,http://skyservice.pha.jhu.edu/DR7/ImgCutout/getjpeg.aspx?ra=115.62079204&dec=31.0988392&scale=0.19806&width=512&height=512&opt=&query=,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=587728931333276044&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j074228.99%2B310555.8&ob=ra,115.62079204,31.0988392
40,SubjectSet_20/587736526443446404.jpg,http://skyservice.pha.jhu.edu/DR7/ImgCutout/getjpeg.aspx?ra=206.84539364&dec=8.07128215&scale=0.19806&width=512&height=512&opt=&query=,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=587736526443446404&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j134722.89%2B080416.6&ob=ra,206.84539364,8.07128215
41,SubjectSet_20/587741602032517187.jpg,http://skyservice.pha.jhu.edu/DR7/ImgCutout/getjpeg.aspx?ra=186.02436556&dec=27.57789466&scale=0.19806&width=512&height=512&opt=&query=,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=587741602032517187&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j122405.84%2B273440.4&ob=ra,186.02436556,27.57789466
42,SubjectSet_20/588297864712618214.jpg,http://skyservice.pha.jhu.edu/DR7/ImgCutout/getjpeg.aspx?ra=128.08120423&dec=31.19080823&scale=0.19806&width=512&height=512&opt=&query=,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=588297864712618214&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j083219.48%2B311126.9&ob=ra,128.08120423,31.19080823
43,SubjectSet_20/587733080268931236.jpg,http://skyservice.pha.jhu.edu/DR7/ImgCutout/getjpeg.aspx?ra=157.72364388&dec=51.33322216&scale=0.19806&width=512&height=512&opt=&query=,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=587733080268931236&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j103053.67%2B511959.5&ob=ra,157.72364388,51.33322216
44,SubjectSet_20/587736586038083613.jpg,http://skyservice.pha.jhu.edu/DR7/ImgCutout/getjpeg.aspx?ra=214.45929413&dec=39.10468505&scale=0.19806&width=512&height=512&opt=&query=,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=587736586038083613&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j141750.23%2B390616.8&ob=ra,214.45929413,39.10468505
45,SubjectSet_20/587739651034120428.jpg,http://skyservice.pha.jhu.edu/DR7/ImgCutout/getjpeg.aspx?ra=238.2175017&dec=19.96969925&scale=0.19806&width=512&height=512&opt=&query=,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=587739651034120428&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j155252.20%2B195810.9&ob=ra,238.2175017,19.96969925
46,SubjectSet_20/588017728691437614.jpg,http://skyservice.pha.jhu.edu/DR7/ImgCutout/getjpeg.aspx?ra=192.02200642&dec=6.98553642&scale=0.19806&width=512&height=512&opt=&query=,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=588017728691437614&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j124805.28%2B065907.9&ob=ra,192.02200642,6.98553642
