Dr, RA, DA, spiral_weighted, loose_plus_medium, arms_tight, arms_medium, arms_loose, irregular 
0,145.503418,24.020397,0.686,0.771,0.229,0.6,0.171,0.286
0,216.356125,8.790906,0.978,0.772,0.227,0.636,0.136,0.182
0,176.94458,23.925608,0.688083,0.773,0.227,0.364,0.409,0
0,186.407028,6.486118,0.946,0.774,0.226,0.645,0.129,0
0,173.545792,62.563045,0.965124,0.775,0.226,0.71,0.065,0.143
0,145.192856,3.658393,0.88908,0.775,0.225,0.425,0.35,0
0,138.08136,46.090401,1,0.777,0.222,0.694,0.083,0.25
0,226.049088,7.456433,0.72,0.778,0.222,0.472,0.306,0.238
0,198.16301,46.486736,0.971,0.778,0.222,0.667,0.111,0.25
0,169.475754,12.054195,0.900317,0.778,0.222,0.722,0.056,0
0,136.197281,21.740917,0.976,0.781,0.22,0.488,0.293,0
0,159.406387,41.290607,0.888304,0.781,0.219,0.531,0.25,0
0,187.938767,3.572709,0.7821,0.782,0.218,0.673,0.109,0.245
0,167.89006,57.198406,0.718652,0.783,0.217,0.261,0.522,0
0,220.520325,15.104071,0.926858,0.784,0.216,0.73,0.054,0
0,198.788849,29.636196,0.735804,0.785,0.214,0.321,0.464,0
0,185.142059,30.661428,0.718,0.786,0.214,0.536,0.25,0
0,253.61853,41.970665,0.88266,0.787,0.213,0.702,0.085,0.286
0,174.56192,31.640301,0.939,0.788,0.212,0.667,0.121,0
0,250.009689,43.693756,0.943,0.788,0.212,0.697,0.091,0.214
0,136.8759,6.749642,0.795669,0.79,0.211,0.658,0.132,0.232
0,226.15094,11.593901,0.912526,0.791,0.209,0.512,0.279,0.22
0,258.806152,30.451448,0.9604,0.792,0.208,0.625,0.167,0
0,188.293518,40.32822,0.76296,0.793,0.207,0.552,0.241,0
0,168.907761,28.591795,0.967,0.793,0.207,0.586,0.207,0
0,217.04187,-1.941606,0.790285,0.794,0.206,0.676,0.118,0
0,215.959457,12.744391,0.827292,0.794,0.206,0.794,0,0
0,219.487015,19.900909,1,0.795,0.205,0.769,0.026,0.111
0,250.067947,23.716331,1,0.796,0.205,0.773,0.023,0.143
0,172.675293,46.286854,0.96316,0.8,0.2,0.567,0.233,0
0,224.17218,0.204336,0.784078,0.8,0.2,0.65,0.15,0.125
0,254.320908,25.216768,0.974,0.8,0.2,0.667,0.133,0
0,231.330734,33.583256,0.80685,0.8,0.2,0.514,0.286,0.091
0,196.494598,25.465689,0.750398,0.8,0.2,0.433,0.367,0.033
0,246.895691,31.37742,0.813305,0.8,0.2,0.6,0.2,0.083
0,126.912727,40.722992,0.957462,0.804,0.196,0.587,0.217,0.307
0,212.068558,37.819996,0.976,0.805,0.195,0.707,0.098,0
0,198.833527,42.325157,0.737665,0.806,0.194,0.548,0.258,0
0,222.665207,11.848372,0.795264,0.806,0.194,0.806,0,0.2
0,218.56456,28.234806,0.673968,0.807,0.194,0.71,0.097,0
0,147.938767,55.944523,0.962037,0.807,0.192,0.615,0.192,0
0,214.446762,55.51627,0.9253,0.809,0.191,0.782,0.027,0.239
0,143.859497,29.812622,0.833637,0.81,0.19,0.286,0.524,0
0,195.781006,-2.365329,0.861016,0.811,0.189,0.514,0.297,0.25
0,242.273224,37.884857,0.768498,0.811,0.189,0.595,0.216,0
0,144.833939,28.341141,0.691989,0.812,0.188,0.531,0.281,0.182
0,172.541916,36.172451,0.826962,0.813,0.188,0.438,0.375,0
0,195.295792,39.744469,0.825565,0.814,0.186,0.419,0.395,0
0,207.986694,20.54899,0.674975,0.815,0.185,0.704,0.111,0.125
0,350.392609,0.447667,0.927,0.815,0.184,0.447,0.368,0.25
0,197.959427,46.932693,0.9272,0.816,0.184,0.395,0.421,0.286
0,211.546646,24.439167,0.706266,0.818,0.182,0.318,0.5,0.286
0,172.400482,-1.298638,0.892349,0.818,0.182,0.545,0.273,0
0,219.311233,38.454269,0.868808,0.819,0.182,0.758,0.061,0
0,152.332047,14.990937,0.694407,0.821,0.179,0.464,0.357,0
0,122.027763,34.932762,0.875154,0.821,0.179,0.5,0.321,0
0,223.728638,30.262259,0.816979,0.822,0.178,0.4,0.422,0.1
0,232.074112,53.150974,0.878755,0.823,0.176,0.676,0.147,0.25
0,179.890305,31.412222,0.919,0.824,0.176,0.824,0,0
0,193.302109,27.323076,0.92815,0.825,0.175,0.55,0.275,0
0,118.472099,12.699569,0.847945,0.826,0.174,0.304,0.522,0.245
0,167.704681,18.420307,0.863432,0.827,0.172,0.655,0.172,0.286
0,179.884064,21.563841,0.906015,0.828,0.172,0.345,0.483,0.286
0,210.546478,3.32215,0.893268,0.828,0.171,0.514,0.314,0.09
0,162.074905,2.572457,0.721794,0.829,0.171,0.629,0.2,0
0,199.209076,-3.062726,0.996004,0.829,0.17,0.638,0.191,0.153
0,230.567139,2.066498,1,0.833,0.167,0.75,0.083,0.286
0,161.269791,36.561085,0.96,0.833,0.167,0.708,0.125,0
0,196.27536,11.712369,0.973,0.833,0.167,0.389,0.444,0
0,208.690888,57.556202,0.737115,0.834,0.167,0.567,0.267,0.125
0,194.145233,10.514926,0.706553,0.834,0.167,0.417,0.417,0.267
0,118.367805,14.361376,0.98,0.837,0.163,0.531,0.306,0
0,213.324158,10.840246,0.903068,0.838,0.162,0.622,0.216,0.091
0,48.081818,-0.068412,0.775028,0.838,0.162,0.27,0.568,0.111
0,154.743576,37.300209,0.755895,0.839,0.161,0.387,0.452,0
0,130.201797,8.293497,0.757671,0.84,0.16,0.613,0.227,0.283
0,168.208099,45.063629,0.859959,0.84,0.16,0.6,0.24,0
0,344.02356,0.554271,0.776066,0.842,0.158,0.421,0.421,0.143
0,240.989166,31.619738,0.97,0.843,0.156,0.281,0.562,0
0,202.281311,41.285782,0.978,0.844,0.156,0.644,0.2,0.125
0,184.019531,38.95628,1,0.844,0.156,0.688,0.156,0.2
0,324.259857,0.428253,0.846905,0.846,0.154,0.359,0.487,0.077
0,240.149002,15.685633,0.963,0.846,0.154,0.731,0.115,0
0,186.101318,3.928341,0.897,0.847,0.154,0.462,0.385,0
0,214.708588,-0.093803,0.916596,0.848,0.152,0.606,0.242,0.125
0,117.372017,19.473469,0.846508,0.849,0.152,0.758,0.091,0.083
