subject id,jpg,Image,SDSS information,LEDA information,RA,DEC
24,SubjectSet_28/587742059995791483D.jpeg,http://legacysurvey.org/viewer/fits-cutout?ra=176.55053968&dec=21.22745957&size=512&layer=decals-dr5&pixscale=0.227&bands=g,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=587742059995791483&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j114612.12%2B211338.8&ob=ra,176.55053968,21.22745957
25,SubjectSet_28/587742013290381489D.jpeg,http://legacysurvey.org/viewer/fits-cutout?ra=200.81929168&dec=21.30166543&size=512&layer=decals-dr5&pixscale=0.227&bands=g,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=587742013290381489&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j132316.63%2B211805.9&ob=ra,200.81929168,21.30166543
26,SubjectSet_28/588010879299420355D.jpeg,http://legacysurvey.org/viewer/fits-cutout?ra=187.98483224&dec=5.04671142&size=512&layer=decals-dr5&pixscale=0.227&bands=g,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=588010879299420355&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j123156.35%2B050248.1&ob=ra,187.98483224,5.04671142
27,SubjectSet_28/587741709954252965D.jpeg,http://legacysurvey.org/viewer/fits-cutout?ra=168.7048212&dec=27.23630088&size=512&layer=decals-dr5&pixscale=0.227&bands=g,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=587741709954252965&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j111449.15%2B271410.6&ob=ra,168.7048212,27.23630088
28,SubjectSet_28/588023670242869342D.jpeg,http://legacysurvey.org/viewer/fits-cutout?ra=177.57948228&dec=20.48031362&size=512&layer=decals-dr5&pixscale=0.227&bands=g,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=588023670242869342&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j115019.07%2B202849.1&ob=ra,177.57948228,20.48031362
29,SubjectSet_28/587738950954123377S.jpeg,http://legacysurvey.org/viewer/fits-cutout?ra=195.41590396&dec=36.29018656&size=512&layer=sdss2&pixscale=0.227&bands=g,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=587738950954123377&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j130139.81%2B361724.6&ob=ra,195.41590396,36.29018656
30,SubjectSet_28/587735349643247722D.jpeg,http://legacysurvey.org/viewer/fits-cutout?ra=171.49502058&dec=15.50437324&size=512&layer=decals-dr5&pixscale=0.227&bands=g,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=587735349643247722&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j112558.80%2B153015.7&ob=ra,171.49502058,15.50437324
31,SubjectSet_28/587729970183602484D.jpeg,http://legacysurvey.org/viewer/fits-cutout?ra=233.91542423&dec=-2.278761&size=512&layer=decals-dr5&pixscale=0.227&bands=g,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=587729970183602484&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j153539.70-021643.5 </font></h2>%2B<td colspan=2><h2><font color=#000086>SDSS J153539.70-021643.5&ob=ra,233.91542423,-2.278761
32,SubjectSet_28/587728932418486508S.jpeg,http://legacysurvey.org/viewer/fits-cutout?ra=138.84324106&dec=51.05037989&size=512&layer=sdss2&pixscale=0.227&bands=g,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=587728932418486508&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j091522.37%2B510301.3&ob=ra,138.84324106,51.05037989
33,SubjectSet_28/588013384348729401S.jpeg,http://legacysurvey.org/viewer/fits-cutout?ra=162.51340463&dec=51.3453388&size=512&layer=sdss2&pixscale=0.227&bands=g,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=588013384348729401&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j105003.21%2B512043.2&ob=ra,162.51340463,51.3453388
